Column1,Column2,Column3,Column4,Column5
0.053925,0.677031,0.107846,1.354057,1
0.216764,2.721773,0.216728,2.721737,2
0.491699,6.175175,0.326588,4.102984,3
0.873151,10.968716,0.435197,5.470392,4
1.363106,17.129559,0.543589,6.837582,5
1.961321,24.657461,0.651711,8.204503,6
2.667499,33.552125,0.759509,9.5711,7
3.481291,43.813201,0.866933,10.937323,8
4.402295,55.440288,0.973931,12.303119,9
5.43006,68.432935,1.080451,13.668438,10
6.564083,82.790638,1.186444,15.03323,11
7.803814,98.512847,1.291862,16.397446,12
9.148651,115.598962,1.396657,17.76104,13
10.597949,134.048337,1.500783,19.123964,14
12.151016,153.860279,1.604194,20.486174,15
13.807115,175.034051,1.706847,21.847626,16
15.565465,197.568874,1.808699,23.208277,17
17.406149,221.218246,1.908704,24.554492,18
19.365498,246.459076,2.008842,25.91343,19
21.424525,273.058383,2.108062,27.271448,20
23.582292,301.01523,2.206328,28.628512,21
25.837828,330.328643,2.303603,29.984586,22
28.190125,360.997617,2.399856,31.339638,23
30.638146,393.021113,2.495055,32.693636,24
33.180821,426.398062,2.589171,34.04655,25
35.817053,461.127367,2.682175,35.398353,26
38.545717,497.207902,2.774043,36.749019,27
41.365664,534.638519,2.864748,38.098524,28
44.27572,573.418044,2.95427,39.446844,29
47.27469,613.545282,3.042586,40.793959,30
50.361361,655.019018,3.129678,42.13985,31
53.534498,697.83802,3.215529,43.484499,32
56.792853,742.001038,3.300123,44.827892,33
60.13516,787.506808,3.383446,46.170014,34
63.560144,834.354053,3.465486,47.510852,35
67.066514,882.541483,3.546231,48.850396,36
70.652973,932.0678,3.625674,50.188638,37
74.318214,982.931697,3.703807,51.525569,38
78.060922,1035.131862,3.780623,52.861184,39
81.879781,1088.666975,3.856119,54.195478,40
85.773467,1143.535713,3.93029,55.528449,41
89.740655,1199.736754,4.003137,56.860094,42
93.780021,1257.268769,4.074658,58.190414,43
97.931694,1316.725763,4.14555,59.532692,44
102.112129,1376.929034,4.214411,60.860352,45
106.360759,1438.459298,4.281954,62.186694,46
110.676268,1501.315241,4.348183,63.511722,47
115.057345,1565.49555,4.413104,64.835442,48
119.502686,1630.998921,4.476725,66.15786,49
124.010993,1697.824057,4.539051,67.478986,50
128.572765,1756.84132,4.49324,49.962774,51
133.042725,1799.480863,4.447298,35.91779,52
137.511234,1829.501094,4.40184,23.924296,53
141.890728,1847.988433,4.357738,13.307963,54
146.226565,1856.225193,4.314512,3.329144,55
150.519607,1854.606066,4.272134,-6.453206,56
154.770689,1843.317366,4.230581,-15.947856,57
158.980624,1822.841665,4.189829,-24.777372,58
163.150202,1793.995193,4.149854,-32.662943,59
167.280188,1757.80828,4.110635,-39.45502,60
171.371328,1715.397899,4.07215,-45.125053,61
175.424345,1667.860417,4.034379,-49.736025,62
179.439944,1616.198208,3.997303,-53.406502,63
183.418809,1561.280727,3.960902,-56.278933,64
187.361606,1503.832883,3.925158,-58.496982,65
191.268983,1444.441303,3.890053,-60.19211,66
195.141571,1383.570161,3.85557,-61.477388,67
198.941767,1322.205046,3.82203,-62.437696,68
202.746936,1259.381723,3.788738,-63.166579,69
206.519104,1195.92666,3.756021,-63.7116,70
210.258839,1131.999823,3.723864,-64.118099,71
213.966694,1067.721456,3.692253,-64.420706,72
217.643209,1003.181589,3.661174,-64.645655,73
221.288907,938.447435,3.630614,-64.812698,74
224.904302,873.569063,3.60056,-64.936645,75
228.489894,808.583713,3.571,-65.02856,76
232.046169,743.519047,3.541921,-65.096693,77
235.573604,678.395598,3.513312,-65.147181,78
239.072661,613.228595,3.485161,-65.184584,79
242.543795,548.029328,3.457458,-65.212289,80
245.987448,482.806164,3.430192,-65.232808,81
249.40405,417.565303,3.403352,-65.248003,82
252.794025,352.311337,3.376929,-65.259255,83
256.157782,287.047666,3.350914,-65.267586,84
259.495727,221.776811,3.325296,-65.273755,85
262.80825,156.500635,3.300067,-65.278322,86
266.095737,91.220521,3.275218,-65.281704,87
269.358563,25.93749,3.25074,-65.284208,88
